"source_file","status","rationale"
"R/035-process-reliability.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/036-device-linking.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/037-pupil-registration.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/038-informative-missingness.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/039-recurrence-analysis.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/040-fixation-point-process.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/041-representative-scanpaths.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/042-process-episodes.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/043-item-bank-optimization.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/044-process-dif-fairness.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/045-process-norms.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/046-evidence-provenance-graph.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/047-measurement-intelligence-adapters.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/048-semantic-validation-0-7.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/049-multimodal-irt-registry.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/050-process-irt-models-0-7.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/051-advanced-process-irt-0-7.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/052-irt-validation-0-7.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/054-additional-process-measurement-0-7.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/055-requested-api-completion-0-7.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/057-emerging-process-irt-0-7.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/058-process-preflight-governance-0-8.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/059-deployment-drift-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/060-process-window-representations-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/061-pupil-advanced-representations-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/062-context-process-structure-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/063-operational-validation-0-8.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/064-next-generation-plots-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/065-frontier-gates-0-8.R","gated","Frontier or optional-engine module with an explicit availability/validation gate."
"R/066-process-decision-features-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/067-advanced-sensitivity-diagnostics-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/068-bayesian-3pl-process-diagnostics-0-8.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/069-validation-program-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/070-governed-pipelines-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/071-api-lifecycle-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/072-sensitivity-multiverse-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/073-decision-manifests-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/074-process-registry-reliability-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/075-benchmark-stress-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/076-calibration-quality-uncertainty-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/077-negative-controls-leakage-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/078-reproducibility-provenance-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/079-software-paper-evidence-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/081-validation-extras-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/082-validation-evidence-programs-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/083-irt-foundations-information-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/084-irt-diagnostics-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/085-irt-scoring-adaptive-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/086-irt-linking-invariance-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/087-irt-process-joint-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/088-irt-engine-adapters-0-9.R","gated","Frontier or optional-engine module with an explicit availability/validation gate."
"R/089-irt-validation-evidence-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/090-irt-multidimensional-cdm-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/091-validation-stress-freeze-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/093-irt-advanced-diagnostics-governance-0-9.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/094-validation-paper-tables-atlas-0-9.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/095-multimodal-measurement-contract-0-10.R","workflow","Canonical multimodal measurement contract and consolidated workflow front door."
"R/096-multimodal-simulation-0-10.R","advanced","Deterministic scientific simulation and truth objects."
"R/097-process-information-0-10.R","advanced","Posterior uncertainty and channel-ablation evidence utilities."
"R/098-multimodal-fit-contract-0-10.R","experimental","Experimental multimodal backend/PPC integration with an internal gated CmdStan development fitter; existing public fitter preserved."
"R/099-multimodal-validation-0-10.R","advanced","Development validation and structural identifiability audits."
"R/100-multimodal-plots-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/101-multimodal-m2-reference-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/102-multimodal-m2-evidence-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/103-multimodal-m2-recovery-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/104-multimodal-m2-plots-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/105-multimodal-m3-reference-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/106-multimodal-m3-evidence-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/107-multimodal-m3-recovery-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/108-multimodal-m3-plots-0-10.R","advanced","Native publication-oriented S3 visualisations."
"R/109-multimodal-m4-reference-0-11.R","advanced","Native publication-oriented S3 visualisations."
"R/110-multimodal-m4-evidence-0-11.R","advanced","Native publication-oriented S3 visualisations."
"R/111-multimodal-m4-recovery-0-11.R","advanced","Native publication-oriented S3 visualisations."
"R/112-multimodal-m4-plots-0-11.R","advanced","Native publication-oriented S3 visualisations."
