"name","status","canonical","replacement","since","notes"
"assign_aois_probabilistic","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 031-probabilistic-aoi.R. Lifecycle status does not establish construct validity."
"assign_process_feature_family","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 066-process-decision-features-0-8.R. Lifecycle status does not establish construct validity."
"assign_trials","core","assign_trials",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"audit_3pl_process_signatures","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 068-bayesian-3pl-process-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"audit_advanced_model_evidence","workflow","audit_advanced_model_evidence",,"0.9.0.9000","Curated module-level workflow classification; source: 021-validation-program.R. Lifecycle status does not establish construct validity."
"audit_aoi_separation","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 031-probabilistic-aoi.R. Lifecycle status does not establish construct validity."
"audit_aois","core","audit_aois",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_bank_decision_stability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 043-item-bank-optimization.R. Lifecycle status does not establish construct validity."
"audit_benchmark_release","workflow","audit_benchmark_release",,"0.9.0.9000","Curated module-level workflow classification; source: 029-benchmark-reproducibility.R. Lifecycle status does not establish construct validity."
"audit_bias","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_biometric_imputation","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 067-advanced-sensitivity-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"audit_biometric_preflight","workflow","audit_biometric_preflight",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"audit_candidate_item_bank","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"audit_channel_incremental_information","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_clock_sync","core","audit_clock_sync",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"audit_convergence","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_coordinate_spaces","core","audit_coordinate_spaces",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"audit_coverage","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_decision_provenance","workflow","audit_decision_provenance",,"0.9.0.9000","Curated module-level workflow classification; source: 073-decision-manifests-0-9.R. Lifecycle status does not establish construct validity."
"audit_device_equivalence","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 036-device-linking.R. Lifecycle status does not establish construct validity."
"audit_distractor_attention","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 050-process-irt-models-0-7.R. Lifecycle status does not establish construct validity."
"audit_episodes","core","audit_episodes",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_event_order","core","audit_event_order",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_evidence_dependencies","workflow","audit_evidence_dependencies",,"0.9.0.9000","Curated module-level workflow classification; source: 046-evidence-provenance-graph.R. Lifecycle status does not establish construct validity."
"audit_eye_api","workflow","audit_eye_api",,"0.9.0.9000","Curated module-level workflow classification; source: 071-api-lifecycle-0-9.R. Lifecycle status does not establish construct validity."
"audit_eye_pipeline","workflow","audit_eye_pipeline",,"0.9.0.9000","Curated module-level workflow classification; source: 070-governed-pipelines-0-9.R. Lifecycle status does not establish construct validity."
"audit_fairness_transportability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 044-process-dif-fairness.R. Lifecycle status does not establish construct validity."
"audit_frontier_model_contract","gated",,,"0.9.0.9000","Curated module-level gated classification; source: 065-frontier-gates-0-8.R. Lifecycle status does not establish construct validity."
"audit_identifiability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_interval_width","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_irf_shape","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 051-advanced-process-irt-0-7.R. Lifecycle status does not establish construct validity."
"audit_item_reduction_sensitivity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 067-advanced-sensitivity-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"audit_latent_distribution","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 055-requested-api-completion-0-7.R. Lifecycle status does not establish construct validity."
"audit_measurement_transportability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_missingness","core","audit_missingness",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_model_promotion","workflow","audit_model_promotion",,"0.9.0.9000","Curated module-level workflow classification; source: 023-validation-orchestration.R. Lifecycle status does not establish construct validity."
"audit_multivariate_process_quality","workflow","audit_multivariate_process_quality",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"audit_nonparametric_rasch","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 067-advanced-sensitivity-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"audit_norm_transportability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 045-process-norms.R. Lifecycle status does not establish construct validity."
"audit_presentation_accessibility","workflow","audit_presentation_accessibility",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"audit_process_adjusted_dif","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 051-advanced-process-irt-0-7.R. Lifecycle status does not establish construct validity."
"audit_process_anomalies","workflow","audit_process_anomalies",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"audit_process_drift","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 059-deployment-drift-0-8.R. Lifecycle status does not establish construct validity."
"audit_process_external_validity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"audit_process_local_dependence","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 057-emerging-process-irt-0-7.R. Lifecycle status does not establish construct validity."
"audit_process_measurement_invariance","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 050-process-irt-models-0-7.R. Lifecycle status does not establish construct validity."
"audit_process_reliability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 035-process-reliability.R. Lifecycle status does not establish construct validity."
"audit_process_window_sensitivity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 060-process-window-representations-0-8.R. Lifecycle status does not establish construct validity."
"audit_pupil_fatigue_drift","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"audit_pupil_frequency_stability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"audit_pupil_preprocessing_order","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 081-validation-extras-0-9.R. Lifecycle status does not establish construct validity."
"audit_pupil_quality","core","audit_pupil_quality",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_pupil_registration","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 037-pupil-registration.R. Lifecycle status does not establish construct validity."
"audit_recalibration","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 034-calibration-recalibration.R. Lifecycle status does not establish construct validity."
"audit_rmse","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_roundtrip_loss","workflow","audit_roundtrip_loss",,"0.9.0.9000","Curated module-level workflow classification; source: 025-vendor-corpus.R. Lifecycle status does not establish construct validity."
"audit_sampling_irregularity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"audit_sampling_rate","core","audit_sampling_rate",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_sbc","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"audit_signal_filter","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"audit_signal_quality","core","audit_signal_quality",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_temporal_leakage","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 077-negative-controls-leakage-0-9.R. Lifecycle status does not establish construct validity."
"audit_timebase","core","audit_timebase",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"audit_trial_coverage","core","audit_trial_coverage",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"audit_validation_completion","workflow","audit_validation_completion",,"0.9.0.9000","Curated module-level workflow classification; source: 023-validation-orchestration.R. Lifecycle status does not establish construct validity."
"audit_vendor_field_coverage","workflow","audit_vendor_field_coverage",,"0.9.0.9000","Curated module-level workflow classification; source: 025-vendor-corpus.R. Lifecycle status does not establish construct validity."
"audit_vendor_validation","workflow","audit_vendor_validation",,"0.9.0.9000","Curated module-level workflow classification; source: 021-validation-program.R. Lifecycle status does not establish construct validity."
"audit_visual_context_dependence","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"autoplot_eyeprocess","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 030-measurement-intelligence-utils.R. Lifecycle status does not establish construct validity."
"baseline_pupil","core","baseline_pupil",,"0.9.0.9000","Curated module-level core classification; source: 009-preprocessing.R. Lifecycle status does not establish construct validity."
"bayesian_process_diagnostic_flags","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 068-bayesian-3pl-process-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"bayesian_process_diagnostics_dashboard","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 068-bayesian-3pl-process-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"benchmark_expected_outputs","workflow","benchmark_expected_outputs",,"0.9.0.9000","Curated module-level workflow classification; source: 029-benchmark-reproducibility.R. Lifecycle status does not establish construct validity."
"benchmark_eye_storage","workflow","benchmark_eye_storage",,"0.9.0.9000","Curated module-level workflow classification; source: 028-api-storage-adapters.R. Lifecycle status does not establish construct validity."
"benchmark_eyeprocess","workflow","benchmark_eyeprocess",,"0.9.0.9000","Curated module-level workflow classification; source: 021-validation-program.R. Lifecycle status does not establish construct validity."
"benchmark_memory_estimate","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 075-benchmark-stress-0-9.R. Lifecycle status does not establish construct validity."
"benchmark_scaling_curve","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 075-benchmark-stress-0-9.R. Lifecycle status does not establish construct validity."
"bind_process_windows","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 060-process-window-representations-0-8.R. Lifecycle status does not establish construct validity."
"biometric_imputation_sensitivity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 067-advanced-sensitivity-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"bootstrap_process_reliability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 074-process-registry-reliability-0-9.R. Lifecycle status does not establish construct validity."
"bootstrap_representative_scanpath","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 041-representative-scanpaths.R. Lifecycle status does not establish construct validity."
"build_aoi_visits","core","build_aoi_visits",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"build_compatibility_matrix","workflow","build_compatibility_matrix",,"0.9.0.9000","Curated module-level workflow classification; source: 025-vendor-corpus.R. Lifecycle status does not establish construct validity."
"build_evidence_graph","workflow","build_evidence_graph",,"0.9.0.9000","Curated module-level workflow classification; source: 046-evidence-provenance-graph.R. Lifecycle status does not establish construct validity."
"build_gazepoint_media_trials","workflow","build_gazepoint_media_trials",,"0.9.0.9000","Curated module-level workflow classification; source: 019-gazepoint-downstream-workflow.R. Lifecycle status does not establish construct validity."
"build_item_responses","core","build_item_responses",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"build_stimulus_intervals","core","build_stimulus_intervals",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"build_trials","core","build_trials",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"calibration_drift_profile","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"calibration_error_model","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"calibration_sensitivity_grid","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"calibration_transfer_audit","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"canonical_eye_api","workflow","canonical_eye_api",,"0.9.0.9000","Curated module-level workflow classification; source: 071-api-lifecycle-0-9.R. Lifecycle status does not establish construct validity."
"canonical_table_names","core","canonical_table_names",,"0.9.0.9000","Curated module-level core classification; source: 001-schema.R. Lifecycle status does not establish construct validity."
"check_feature_level","core","check_feature_level",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"check_local_dependence","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 013-models.R. Lifecycle status does not establish construct validity."
"check_process_leakage","core","check_process_leakage",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"classify_item_missingness","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 050-process-irt-models-0-7.R. Lifecycle status does not establish construct validity."
"collect_eye_storage","workflow","collect_eye_storage",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"collect_validation_evidence","workflow","collect_validation_evidence",,"0.9.0.9000","Curated module-level workflow classification; source: 063-operational-validation-0-8.R. Lifecycle status does not establish construct validity."
"collect_validation_jobs","workflow","collect_validation_jobs",,"0.9.0.9000","Curated module-level workflow classification; source: 023-validation-orchestration.R. Lifecycle status does not establish construct validity."
"combine_eye_datasets","core","combine_eye_datasets",,"0.9.0.9000","Curated module-level core classification; source: 003-mapping-adapters.R. Lifecycle status does not establish construct validity."
"compact_eye_dataset","core","compact_eye_dataset",,"0.9.0.9000","Curated module-level core classification; source: 002-class.R. Lifecycle status does not establish construct validity."
"compare_aoi_compositions","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 032-compositional-aoi.R. Lifecycle status does not establish construct validity."
"compare_aoi_definitions","core","compare_aoi_definitions",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"compare_aoi_methods","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 072-sensitivity-multiverse-0-9.R. Lifecycle status does not establish construct validity."
"compare_aoi_trajectories","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 060-process-window-representations-0-8.R. Lifecycle status does not establish construct validity."
"compare_bayesian_process_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 067-advanced-sensitivity-diagnostics-0-8.R. Lifecycle status does not establish construct validity."
"compare_decision_manifests","workflow","compare_decision_manifests",,"0.9.0.9000","Curated module-level workflow classification; source: 073-decision-manifests-0-9.R. Lifecycle status does not establish construct validity."
"compare_decision_provenance","workflow","compare_decision_provenance",,"0.9.0.9000","Curated module-level workflow classification; source: 046-evidence-provenance-graph.R. Lifecycle status does not establish construct validity."
"compare_deployment_batches","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 059-deployment-drift-0-8.R. Lifecycle status does not establish construct validity."
"compare_diffusion_accuracy_rt","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 027-strategy-diffusion-engines.R. Lifecycle status does not establish construct validity."
"compare_dynamic_transition_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 024-dynamic-irtree-engine.R. Lifecycle status does not establish construct validity."
"compare_engine_adapters","workflow","compare_engine_adapters",,"0.9.0.9000","Curated module-level workflow classification; source: 028-api-storage-adapters.R. Lifecycle status does not establish construct validity."
"compare_episode_structure","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 042-process-episodes.R. Lifecycle status does not establish construct validity."
"compare_eye_datasets","core","compare_eye_datasets",,"0.9.0.9000","Curated module-level core classification; source: 017-format-validation.R. Lifecycle status does not establish construct validity."
"compare_fixation_methods","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 072-sensitivity-multiverse-0-9.R. Lifecycle status does not establish construct validity."
"compare_functional_scalar_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 026-functional-pupil-engine.R. Lifecycle status does not establish construct validity."
"compare_hard_probabilistic_aoi","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"compare_irt_models","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 049-multimodal-irt-registry.R. Lifecycle status does not establish construct validity."
"compare_latent_distribution_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 055-requested-api-completion-0-7.R. Lifecycle status does not establish construct validity."
"compare_model_engines","workflow","compare_model_engines",,"0.9.0.9000","Curated module-level workflow classification; source: 021-validation-program.R. Lifecycle status does not establish construct validity."
"compare_parametric_nonparametric_irf","experimental",,,"0.9.0.9000","Curated module-level experimental classification; source: 051-advanced-process-irt-0-7.R. Lifecycle status does not establish construct validity."
"compare_preprocessing","core","compare_preprocessing",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"compare_presentation_fairness","workflow","compare_presentation_fairness",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"compare_process_criterion_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"compare_process_models","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 072-sensitivity-multiverse-0-9.R. Lifecycle status does not establish construct validity."
"compare_process_profile_solutions","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"compare_pupil_kernels","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"compare_pupil_preprocessing","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 072-sensitivity-multiverse-0-9.R. Lifecycle status does not establish construct validity."
"compare_raw_adjusted_pupil","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"compare_reproducibility_fingerprints","workflow","compare_reproducibility_fingerprints",,"0.9.0.9000","Curated module-level workflow classification; source: 078-reproducibility-provenance-0-9.R. Lifecycle status does not establish construct validity."
"compare_scanpath_distributions","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 041-representative-scanpaths.R. Lifecycle status does not establish construct validity."
"compare_signal_filters","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"compare_strategy_heterogeneity","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 027-strategy-diffusion-engines.R. Lifecycle status does not establish construct validity."
"compare_uncertainty_budgets","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 033-process-uncertainty.R. Lifecycle status does not establish construct validity."
"compare_validation_engines","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"compare_vendor_semantics","workflow","compare_vendor_semantics",,"0.9.0.9000","Curated module-level workflow classification; source: 025-vendor-corpus.R. Lifecycle status does not establish construct validity."
"compare_visual_context_irt","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"compatibility_evidence_matrix","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 048-semantic-validation-0-7.R. Lifecycle status does not establish construct validity."
"context_factor_effects","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 062-context-process-structure-0-8.R. Lifecycle status does not establish construct validity."
"convert_coordinates","core","convert_coordinates",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"convert_xy","core","convert_xy",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
