r_name,python_name,source_file,rd_help,r_signature,arg_count,uses_dots,s3_generic_or_method,related_tests,related_articles,lifecycle_status,plot_candidate,python_module,python_test_file,p0_discovered,p1_api,p2_structural,p3_semantic,p4_numerical,p5_algorithmic,p6_plot,p7_docs_examples,blocker
assign_trials,assign_trials,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(x, interval_type = ""trial"", overwrite = FALSE)",3,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_aois,audit_aois,R/011-quality-governance.R,man/eyeprocess-quality.Rd,(x),1,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_clock_sync,audit_clock_sync,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(x, channel = NULL)",2,False,False,,vignettes/importing-and-harmonizing.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_coordinate_spaces,audit_coordinate_spaces,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,(x),1,False,False,,vignettes/importing-and-harmonizing.Rmd,unclassified,False,src/eyeprocesspy/coordinates.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_episodes,audit_episodes,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, type = NULL)",2,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_event_order,audit_event_order,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, event_type = NULL)",2,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_missingness,audit_missingness,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, component = c(""gaze_samples"", ""eye_samples"", ""biometrics""), by = ""recording_id"")",3,False,False,,vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_pupil_quality,audit_pupil_quality,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, maximum_interpolated_fraction = 0.20, plausible_range = NULL, store = FALSE)",4,False,False,,vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_sampling_rate,audit_sampling_rate,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, expected_hz = NULL, tolerance_hz = 5, store = FALSE)",4,False,False,tests/testthat/test-quality-plots.R,vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_signal_quality,audit_signal_quality,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(
    x,
    minimum_valid_gaze = 0.80,
    minimum_valid_pupil = 0.70,
    by_trial = TRUE,
    store = FALSE)",5,False,False,tests/testthat/test-quality-plots.R,vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_timebase,audit_timebase,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(x, component = ""gaze_samples"")",2,False,False,,vignettes/importing-and-harmonizing.Rmd,unclassified,False,src/eyeprocesspy/timebase.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
audit_trial_coverage,audit_trial_coverage,R/011-quality-governance.R,man/eyeprocess-quality.Rd,(x),1,False,False,,vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
baseline_pupil,baseline_pupil,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(
    x,
    method = c(""subtract"", ""divide"", ""percent"", ""zscore"", ""none""),
    baseline_window = c(-0.2, 0),
    anchor = c(""trial_start"", ""recording_start""),
    minimum_samples = 3L)",5,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
build_aoi_visits,build_aoi_visits,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(x, gap_tolerance_ms = 75, minimum_duration_ms = 0, source = c(""gaze_samples"", ""episodes""))",4,False,False,tests/testthat/test-trials-aoi-features.R,vignettes/getting-started.Rmd|vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
build_gazepoint_media_trials,build_gazepoint_media_trials,R/019-gazepoint-downstream-workflow.R,man/build_gazepoint_media_trials.Rd,"(x, item_map = NULL, overwrite = TRUE)",3,False,False,,,unclassified,False,,,yes,not_started,not_started,not_started,not_started,not_started,not_applicable,not_started,
build_item_responses,build_item_responses,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(x, score_key = NULL, response_type = ""observed"")",3,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
build_stimulus_intervals,build_stimulus_intervals,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(x, source = c(""gaze_samples"", ""events""), overwrite = FALSE)",3,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
build_trials,build_trials,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(
    x,
    start_events = c(""TRIAL_START"", ""TRIALID"", ""START_TRIAL""),
    end_events = c(""TRIAL_END"", ""TRIAL_RESULT"", ""END_TRIAL""),
    event_field = c(""event_name"", ""event_value""),
    trial_id_pattern = NULL,
    close_open = c(""recording_end"", ""next_start"", ""drop""),
    overwrite = FALSE)",7,False,False,tests/testthat/test-trials-aoi-features.R,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
canonical_table_names,canonical_table_names,R/001-schema.R,man/eyeprocess-schema.Rd,(),0,False,False,tests/testthat/test-format-validation.R|tests/testthat/test-schema-class.R,,unclassified,False,src/eyeprocesspy/schema.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
check_feature_level,check_feature_level,R/011-quality-governance.R,man/eyeprocess-quality.Rd,(x),1,False,False,,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
check_local_dependence,check_local_dependence,R/013-models.R,man/eyeprocess-models.Rd,"(model, ...)",2,True,False,,,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,source_ported,not_applicable,docstring_initial,
check_process_leakage,check_process_leakage,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(x, response_time_tolerance = 0)",2,False,False,,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
combine_eye_datasets,combine_eye_datasets,R/003-mapping-adapters.R,man/eyeprocess-adapters.Rd,"(..., resolve_ids = TRUE)",2,True,False,,,unclassified,False,src/eyeprocesspy/adapters.py,tests/test_import_adapter_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
compact_eye_dataset,compact_eye_dataset,R/002-class.R,man/eyeprocess-class.Rd,"(x, drop_raw = FALSE, drop_empty = FALSE)",3,False,False,,,unclassified,False,src/eyeprocesspy/dataset.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
compare_aoi_definitions,compare_aoi_definitions,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(..., source = ""samples"")",2,True,False,,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
compare_eye_datasets,compare_eye_datasets,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,"(
    x,
    y,
    tables = canonical_table_names(),
    numeric_tolerance = 1e-8,
    ignore_volatile = TRUE)",5,False,False,tests/testthat/test-format-validation.R,,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
compare_preprocessing,compare_preprocessing,R/011-quality-governance.R,man/eyeprocess-quality.Rd,"(..., metrics = c(""valid_gaze_fraction"", ""valid_pupil_fraction"", ""fixation_count""))",2,True,False,,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
convert_coordinates,convert_coordinates,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(
    x,
    from,
    to,
    components = c(""gaze_samples"", ""episodes"", ""aoi_geometry""),
    clip = FALSE,
    overwrite = FALSE)",6,False,False,,,unclassified,False,src/eyeprocesspy/coordinates.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
convert_xy,convert_xy,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(x, y, from, to, from_width = NA_real_, from_height = NA_real_, to_width = NA_real_, to_height = NA_real_, clip = FALSE)",9,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
coordinate_space,coordinate_space,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(x, id)",2,False,False,,,unclassified,False,src/eyeprocesspy/coordinates.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
create_validation_bundle,create_validation_bundle,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,"(
    x,
    path = ""eyeprocess-validation-bundle.zip"",
    include_dataset = TRUE,
    anonymize = TRUE,
    overwrite = FALSE)",5,False,False,tests/testthat/test-format-validation.R,vignettes/validating-real-exports.Rmd,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
derive_all_features,derive_all_features,R/010-features.R,man/eyeprocess-features.Rd,"(x, spec = feature_spec(), reset = FALSE)",3,False,False,tests/testthat/test-advanced-models-v2.R|tests/testthat/test-trials-aoi-features.R,vignettes/getting-started.Rmd|vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
derive_biometric_features,derive_biometric_features,R/010-features.R,man/eyeprocess-features.Rd,"(x, append = TRUE)",2,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
derive_gaze_features,derive_gaze_features,R/010-features.R,man/eyeprocess-features.Rd,"(x, level = c(""trial_aoi"", ""trial""), source = c(""fixations"", ""visits"", ""samples""), append = TRUE)",4,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
derive_gazepoint_workflow_features,derive_gazepoint_workflow_features,R/019-gazepoint-downstream-workflow.R,man/derive_gazepoint_workflow_features.Rd,"(x, reset_workflow_features = TRUE)",2,False,False,,,unclassified,False,,,yes,not_started,not_started,not_started,not_started,not_started,not_applicable,not_started,
derive_pupil_features,derive_pupil_features,R/010-features.R,man/eyeprocess-features.Rd,"(x, level = c(""trial"", ""trial_aoi""), append = TRUE, pupil_column = ""pupil_diameter"")",4,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
derive_rt_features,derive_rt_features,R/010-features.R,man/eyeprocess-features.Rd,"(x, append = TRUE)",2,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
detect_blinks,detect_blinks,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(x, min_duration_ms = 50, max_duration_ms = 1000, source = c(""pupil_missing"", ""validity""), overwrite = FALSE)",5,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
detect_eye_format,detect_eye_format,R/003-mapping-adapters.R,man/eyeprocess-adapters.Rd,"(path, inspect_rows = 20L, candidates = NULL)",3,False,False,,vignettes/importing-and-harmonizing.Rmd,unclassified,False,src/eyeprocesspy/adapters.py,tests/test_import_adapter_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
detect_fixations_idt,detect_fixations_idt,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(
    x,
    dispersion_threshold = 1,
    minimum_duration_ms = 100,
    coordinate_units = c(""degrees"", ""pixels"", ""normalized""),
    overwrite = FALSE)",5,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
detect_fixations_ivt,detect_fixations_ivt,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(
    x,
    velocity_threshold = 30,
    minimum_duration_ms = 60,
    maximum_gap_ms = 75,
    coordinate_units = c(""degrees"", ""pixels"", ""normalized""),
    overwrite = FALSE)",6,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
detect_saccades,detect_saccades,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(x, velocity_threshold = 30, minimum_duration_ms = 10, overwrite = FALSE)",4,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
discover_validation_cases,discover_validation_cases,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,"(path, recursive = FALSE)",2,False,False,,,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
empty_eye_table,empty_eye_table,R/001-schema.R,man/eyeprocess-schema.Rd,"(name, schema = eye_schema())",2,False,False,,,unclassified,False,src/eyeprocesspy/schema.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
estimate_clock_transform,estimate_clock_transform,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(source_times, target_times, method = c(""linear"", ""offset""))",3,False,False,,,unclassified,False,src/eyeprocesspy/timebase.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
estimate_ez_diffusion,estimate_ez_diffusion,R/016-advanced-experimental.R,man/eyeprocess-experimental.Rd,"(
    x,
    accuracy = ""score"",
    response_time = ""response_time"",
    by = c(""item_id""),
    scale = 0.1)",5,False,False,,,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,source_ported,not_applicable,docstring_initial,
estimate_sampling_rate,estimate_sampling_rate,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(timestamp_seconds, trim = 0.05)",2,False,False,,,unclassified,False,src/eyeprocesspy/timebase.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
export_canonical,export_canonical,R/015-export-report-bridges.R,man/eyeprocess-export-report.Rd,(...),1,True,False,tests/testthat/test-export-report.R,vignettes/getting-started.Rmd,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,python_reference_differs,not_applicable,docstring_initial,Canonical folder semantics are implemented and tested. Native R RDS serialization and R byte-identical table-MD5 fingerprints remain explicit R-specific backend boundaries; eyeprocesspy does not disguise another serialization format as RDS.
eye_format_profiles,eye_format_profiles,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,(),0,False,False,tests/testthat/test-format-validation.R,vignettes/validating-real-exports.Rmd,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
eye_mapping,eye_mapping,R/003-mapping-adapters.R,man/eyeprocess-adapters.Rd,"(
    participant = NULL,
    recording = NULL,
    session = NULL,
    timestamp = NULL,
    timestamp_device = NULL,
    x = NULL,
    y = NULL,
    z = NULL,
    left_x = NULL,
    left_y = NULL,
    right_x = NULL,
    right_y = NULL,
    gaze_valid = NULL,
    left_valid = NULL,
    right_valid = NULL,
    confidence = NULL,
    pupil_left = NULL,
    pupil_right = NULL,
    pupil_left_valid = NULL,
    pupil_right_valid = NULL,
    fixation_id = NULL,
    blink_id = NULL,
    trial = NULL,
    item = NULL,
    stimulus = NULL,
    condition = NULL,
    response = NULL,
    score = NULL,
    response_time = NULL,
    event_name = NULL,
    event_value = NULL,
    event_type = NULL,
    biometric_channels = NULL,
    extra = list())",34,False,False,tests/testthat/test-generic-import.R|tests/testthat/test-interoperability-storage.R,vignettes/importing-and-harmonizing.Rmd,unclassified,False,src/eyeprocesspy/mapping.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
eye_schema,eye_schema,R/001-schema.R,man/eyeprocess-schema.Rd,(version = .eye_env$schema_version),1,False,False,,,unclassified,False,src/eyeprocesspy/schema.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
feature_dictionary,feature_dictionary,R/010-features.R,man/eyeprocess-features.Rd,(x),1,False,False,,vignettes/getting-started.Rmd|vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
feature_spec,feature_spec,R/010-features.R,man/eyeprocess-features.Rd,"(
    level = c(""trial"", ""trial_aoi"", ""recording"", ""participant_item""),
    window = NULL,
    include_post_response = FALSE,
    minimum_observed_fraction = 0.5,
    gaze = c(""fixation_count"", ""fixation_duration"", ""dwell_time"", ""first_fixation_latency"", ""revisits"", ""entropy""),
    pupil = c(""mean"", ""peak"", ""auc"", ""slope"", ""latency_peak""),
    response_time = TRUE,
    biometrics = TRUE)",8,False,False,,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
features_wide,features_wide,R/010-features.R,man/eyeprocess-features.Rd,"(x, id_cols = c(""recording_id"", ""participant_id"", ""trial_id"", ""item_id"", ""stimulus_id"", ""aoi_id""), aggregate = mean)",3,False,False,tests/testthat/test-advanced-models-v2.R,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
filter_gaze,filter_gaze,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(x, method = c(""median"", ""mean"", ""moving_median"", ""moving_average"", ""none""), window = 5L, component = ""gaze_samples"")",4,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
filter_pupil,filter_pupil,R/009-preprocessing.R,man/eyeprocess-preprocessing.Rd,"(x, method = c(""median"", ""mean"", ""moving_median"", ""moving_average"", ""none""), window = 5L)",3,False,False,,,unclassified,False,eyeprocesspy.preprocess_features_09,tests/test_preprocess_features_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
fingerprint_eye_dataset,fingerprint_eye_dataset,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,"(
    x,
    tables = canonical_table_names(),
    ignore_volatile = TRUE)",3,False,False,,,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,python_reference_differs,not_applicable,docstring_initial,Canonical folder semantics are implemented and tested. Native R RDS serialization and R byte-identical table-MD5 fingerprints remain explicit R-specific backend boundaries; eyeprocesspy does not disguise another serialization format as RDS.
fit_accuracy_rt,fit_accuracy_rt,R/013-models.R,man/eyeprocess-models.Rd,"(
    x,
    engine = c(""LNIRT"", ""two_stage""),
    iterations = 1000,
    burnin = 10,
    residual = FALSE,
    ...)",6,True,False,,vignettes/psychometric-process-models.Rmd,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,python_reference_differs,not_applicable,docstring_initial,Cross-language numerical parity and exact R-engine identity remain pending; Python reference/backend differs or exact R backend is explicitly gated.
fit_dif,fit_dif,R/013-models.R,man/eyeprocess-models.Rd,"(x, group, engine = c(""logistic"", ""mirt""), items = NULL, ...)",5,True,False,,,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,python_reference_differs,not_applicable,docstring_initial,Cross-language numerical parity and exact R-engine identity remain pending; Python reference/backend differs or exact R backend is explicitly gated.
fit_dynamic_aoi_model,fit_dynamic_aoi_model,R/013-models.R,man/eyeprocess-models.Rd,"(x, source = c(""visits"", ""fixations"", ""samples""), smoothing = 0.5)",3,False,False,,,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,source_ported,not_applicable,docstring_initial,
