file,python_article,title,export_refs,status
vignettes/calibration-uncertainty-and-data-quality.Rmd,docs/articles/calibration-uncertainty-and-data-quality.md,Calibration uncertainty and eye-tracking data quality,calibration_error_model|data_quality_reporting_table|gaze_data_quality_profile|gaze_uncertainty_ellipse|probabilistic_aoi_assignment|propagate_calibration_uncertainty,not_started
vignettes/cognitive-diagnosis-qmatrix-governance.Rmd,docs/articles/cognitive-diagnosis-qmatrix-governance.md,Cognitive diagnosis and Q-matrix governance,eyeprocess_cdm_attribute_profiles|eyeprocess_cdm_dina_ideal_response|eyeprocess_cdm_dina_probability|eyeprocess_cdm_qmatrix_audit|fit_eyeprocess_gdina,not_started
vignettes/deployment-drift-monitoring.Rmd,docs/articles/deployment-drift-monitoring.md,Post-deployment psychometric-biometric drift monitoring,audit_process_drift|drift_by_device|drift_by_site|drift_by_stimulus_version|drift_by_vendor|process_drift_alerts|process_drift_spec,not_started
vignettes/dynamic-irtree-hardening.Rmd,docs/articles/dynamic-irtree-hardening.md,Dynamic IRTree and transition-model hardening,dynamic_irtree_spec|fit_dynamic_irtree|compare_dynamic_transition_models|decode_dynamic_states|dynamic_irtree_recovery|dynamic_transition_design|simulate_dynamic_irtree_data|transition_residual_diagnostics,not_started
vignettes/empirical-validation-programme.Rmd,docs/articles/empirical-validation-programme.md,Empirical validation programmes in eyeprocess,freeze_validation_reference|process_validation_design|run_process_validation|validation_coverage_table|validation_failure_profile|validation_recovery_table,not_started
vignettes/evidence-decision-provenance.Rmd,docs/articles/evidence-decision-provenance.md,Evidence and Decision Provenance,audit_evidence_dependencies|build_evidence_graph|compare_decision_provenance|plot_evidence_graph|plot_item_decision_path|plot_metric_dependency_graph|plot_model_decision_impact|trace_item_decision,not_started
vignettes/experimental-process-irt-0-7.Rmd,docs/articles/experimental-process-irt-0-7.md,Experimental Process-IRT Methods and Evidence Gates,audit_irf_shape|audit_process_adjusted_dif|compare_parametric_nonparametric_irf|equate_irt_scales|expected_process_information|fit_cognitive_diagnosis_process|fit_continuous_time_irt|fit_dynamic_gpirt|fit_flow_mirt|fit_gpirt|fit_latent_class_process_irt|fit_latent_space_irt|fit_process_hmm_irt|fit_response_process_embedding_irt|fit_variational_irt|process_dif_nuisance_surrogate|process_item_information|process_ngram_features|process_person_fit|process_residual_map|process_sequence_embedding|process_state_occupancy|process_state_transition_summary|select_next_item_process|simulate_process_cat|validate_latent_space_process_similarity,not_started
vignettes/frozen-validation-evidence-programme.Rmd,docs/articles/frozen-validation-evidence-programme.md,Frozen validation evidence programme,expand_eyeprocess_validation_plan|eyeprocess_validation_claim_matrix|eyeprocess_validation_plan|freeze_eyeprocess_validation_evidence|validation_acceptance_rule|verify_eyeprocess_validation_evidence,not_started
vignettes/functional-pupil-irt-engine.Rmd,docs/articles/functional-pupil-irt-engine.md,Functional pupil-IRT modelling,functional_pupil_irt_spec|fit_joint_functional_pupil_irt|compare_functional_scalar_models|extract_functional_pupil_parameters|functional_pupil_basis|functional_pupil_diagnostics|prepare_functional_pupil_data|pupil_preprocessing_grid|pupil_preprocessing_sensitivity,not_started
vignettes/gaze-diffusion-irt.Rmd,docs/articles/gaze-diffusion-irt.md,Gaze-informed diffusion-IRT modelling,gaze_diffusion_spec|fit_gaze_diffusion_irt|compare_diffusion_accuracy_rt|diffusion_identification_study|diffusion_parameter_diagnostics|diffusion_posterior_predictive|extract_diffusion_parameters|prepare_gaze_diffusion_data,not_started
vignettes/gazepoint-downstream-workflow.Rmd,docs/articles/gazepoint-downstream-workflow.md,Complete Gazepoint Downstream Workflow,gazepoint_workflow_spec|run_gazepoint_workflow|validate_gazepoint_workflow,not_started
vignettes/gazepoint-workflows.Rmd,docs/articles/gazepoint-workflows.md,Gazepoint and Gazepoint Biometrics Workflows,gp_align_media_ids|gp_audit_file_pairs|gp_check_biometrics_sync|gp_check_fixation_ids|gp_check_media_timing|gp_check_pupil_channels|gp_check_sampling_rate|gp_check_validity_fields|gp_list_export_fields|gp_pair_exports|gp_profile_export|gp_reconstruct_stimuli|gp_reconstruct_trials|gp_validate_export|read_gazepoint_aoi_statistics|read_gazepoint_biometrics|read_gazepoint_folder|read_gazepoint_gaze|read_gazepoint_summary|synchronize_eye_biometrics,not_started
vignettes/getting-started.Rmd,docs/articles/getting-started.md,Getting Started with eyeprocess,analysis_readiness|build_aoi_visits|derive_all_features|export_canonical|feature_dictionary|plot_eye_overview|plot_pupil_timeseries|plot_scanpath|plot_transition_matrix|preprocess_eye|preprocess_spec|provenance_manifest|report_eye_dataset|simulate_eye_dataset|validate_eye_dataset|write_eye_dataset,not_started
vignettes/governed-end-to-end-pipelines.Rmd,docs/articles/governed-end-to-end-pipelines.md,Governed end-to-end analysis pipelines,audit_eye_pipeline|eye_analysis_pipeline|eye_analysis_spec|eye_pipeline_step|eye_targets_manifest|run_eye_pipeline|validate_eye_pipeline|write_eye_targets_template,not_started
vignettes/importing-and-harmonizing.Rmd,docs/articles/importing-and-harmonizing.md,Importing and Harmonizing Eye-Tracking Exports,audit_clock_sync|audit_coordinate_spaces|audit_timebase|detect_eye_format|eye_mapping|read_eye_export|read_eye_generic|read_eyelink_asc|read_pupil_core|read_pupil_neon|read_smi|read_tobii,not_started
vignettes/independent-vendor-corpus.Rmd,docs/articles/independent-vendor-corpus.md,Independent multi-vendor validation corpus,audit_roundtrip_loss|audit_vendor_field_coverage|build_compatibility_matrix|compare_vendor_semantics|fingerprint_validation_case|init_vendor_corpus|redact_validation_case|register_validation_case|register_vendor_semantics|write_vendor_case_report,not_started
vignettes/interoperability-storage.Rmd,docs/articles/interoperability-storage.md,"Interoperability, Eye-Tracking-BIDS, and storage",validate_eye_dataset|write_eye_storage|collect_eye_storage|export_eye_bids|import_eye_bids|as_eyeprocess_eyetools|as_procdata_sequence|as_traminer_sequence|as_seqhmm_data,not_started
vignettes/irt-engines-and-gating.Rmd,docs/articles/irt-engines-and-gating.md,External IRT engines and exact-method gating,eyeprocess_irt_engine_registry|fit_eyeprocess_mirt|validate_eyeprocess_external_irt_fit,not_started
vignettes/irt-information-scoring-diagnostics.Rmd,docs/articles/irt-information-scoring-diagnostics.md,"IRT information, scoring, and diagnostics",eyeprocess_irt_identification_audit|eyeprocess_irt_measurement_precision_profile|eyeprocess_irt_q3|eyeprocess_irt_sparse_design_audit|eyeprocess_irt_test_information|simulate_eyeprocess_irt_binary,not_started
vignettes/irt-linking-dif-invariance.Rmd,docs/articles/irt-linking-dif-invariance.md,"IRT linking, DIF, DTF, and invariance evidence",eyeprocess_irt_apply_link|eyeprocess_irt_mean_sigma_link,not_started
vignettes/irt-recovery-sbc-misspecification.Rmd,docs/articles/irt-recovery-sbc-misspecification.md,"IRT recovery, SBC, and misspecification evidence",eyeprocess_irt_misspecification_suite|eyeprocess_irt_recovery_design|run_eyeprocess_irt_ability_sbc,not_started
vignettes/item-bank-fairness-norms.Rmd,docs/articles/item-bank-fairness-norms.md,"Item-Bank Decisions, Fairness Drift, and Reference Centiles",audit_bank_decision_stability|audit_norm_transportability|fit_process_dif|fit_process_norms|item_objective_spec|item_pareto_front|monitor_dif_drift|optimize_item_bank|plot_decision_stability|plot_dif_drift_heatmap|plot_item_pareto|plot_process_centiles|plot_process_dif_forest|plot_selected_bank_profile|predict_process_centiles|score_process_deviation,not_started
vignettes/item-seeding-accessibility-and-presentation-fairness.Rmd,docs/articles/item-seeding-accessibility-and-presentation-fairness.md,"Item seeding, accessibility review, and presentation fairness",audit_candidate_item_bank|audit_presentation_accessibility|compare_presentation_fairness|fit_item_parameter_seed_model|predict_item_parameter_priors|simulate_presentation_variants,not_started
vignettes/m2-ppc-negative-controls-0-10.Rmd,docs/articles/m2-ppc-negative-controls-0-10.md,M2 Posterior Predictive Checks and Negative Controls,fit_multimodal_m2|multimodal_m2_negative_controls|multimodal_m2_ppc|simulate_multimodal_m2,not_started
vignettes/m2-process-information-ablation-0-10.Rmd,docs/articles/m2-process-information-ablation-0-10.md,M2 Process Information and Channel Ablation,multimodal_m2_ablation|multimodal_m2_process_information|simulate_multimodal_m2,not_started
vignettes/m2-recovery-identifiability-0-10.Rmd,docs/articles/m2-recovery-identifiability-0-10.md,M2 Recovery and Identifiability,audit_multimodal_m2_identifiability|multimodal_m2_recovery|simulate_multimodal_m2,not_started
vignettes/m2-three-way-reference-model-0-10.Rmd,docs/articles/m2-three-way-reference-model-0-10.md,"M2 Three-Way Reference Model: Response, RT, and Gaze",audit_multimodal_m2_identifiability|fit_multimodal_m2|multimodal_m2_spec|simulate_multimodal_m2,not_started
vignettes/m3-device-transport-sensor-value-0-10.Rmd,docs/articles/m3-device-transport-sensor-value-0-10.md,"M3 device transport, falsification controls, and sensor value",audit_multimodal_m3_identifiability|multimodal_m3_ablation|multimodal_m3_negative_controls|multimodal_m3_process_information|simulate_multimodal_m3,not_started
vignettes/m3-four-channel-reference-model-0-10.Rmd,docs/articles/m3-four-channel-reference-model-0-10.md,"M3: Four-channel response, RT, gaze, and pupil measurement",audit_multimodal_m3_identifiability|fit_multimodal_m3|multimodal_m3_ablation|multimodal_m3_recovery|simulate_multimodal_m3|validate_multimodal_m3,not_started
vignettes/m3-functional-pupil-bridge-0-10.Rmd,docs/articles/m3-functional-pupil-bridge-0-10.md,M3 functional pupil bridge: from trajectories to joint measurement,multimodal_m3_functional_bridge|multimodal_m3_process_information|multimodal_m3_spec|simulate_multimodal_m3,not_started
vignettes/m3-process-information-ablation-0-10.Rmd,docs/articles/m3-process-information-ablation-0-10.md,"M3 process information: ablation, redundancy, and sensor value",multimodal_m3_ablation|multimodal_m3_process_information|simulate_multimodal_m3,not_started
vignettes/m3-pupil-confounds-measurement-0-10.Rmd,docs/articles/m3-pupil-confounds-measurement-0-10.md,"M3 pupil measurement: confounds, quality, and missingness",audit_multimodal_m3_identifiability|simulate_multimodal_m3,not_started
vignettes/m3-recovery-missingness-identifiability-0-10.Rmd,docs/articles/m3-recovery-missingness-identifiability-0-10.md,"M3 recovery, identifiability, and failure-case validation",audit_multimodal_m3_identifiability|multimodal_m3_recovery|simulate_multimodal_m3,not_started
vignettes/m4-identifiability-state-uncertainty-0-11.Rmd,docs/articles/m4-identifiability-state-uncertainty-0-11.md,"Identifiability, State Separation, and Label Uncertainty",audit_multimodal_m4_identifiability|multimodal_m4_state_diagnostics|simulate_multimodal_m4,not_started
vignettes/m4-negative-controls-state-count-0-11.Rmd,docs/articles/m4-negative-controls-state-count-0-11.md,Negative Controls and State-Count Sensitivity,multimodal_m4_negative_controls|multimodal_m4_sensitivity|simulate_multimodal_m4,not_started
vignettes/m4-process-information-ablation-0-11.Rmd,docs/articles/m4-process-information-ablation-0-11.md,Does Latent State Structure Add Measurement Information?,multimodal_m4_ablation|multimodal_m4_process_information|simulate_multimodal_m4,not_started
vignettes/m4-recovery-validation-0-11.Rmd,docs/articles/m4-recovery-validation-0-11.md,Recovery and Validation of Latent Response-Process States,multimodal_m4_recovery,not_started
vignettes/m4-reference-model-fitting-0-11.Rmd,docs/articles/m4-reference-model-fitting-0-11.md,Specifying and Fitting the M4 Reference Model,audit_multimodal_m4_identifiability|fit_multimodal_m4|multimodal_m4_spec|simulate_multimodal_m4,not_started
vignettes/m4-trait-conditioned-process-states-0-11.Rmd,docs/articles/m4-trait-conditioned-process-states-0-11.md,Trait-Conditioned Latent Response-Process States,multimodal_m4_spec|simulate_multimodal_m4,not_started
vignettes/manual-multimodal-backends-0-10.Rmd,docs/articles/manual-multimodal-backends-0-10.md,Manual Installation of Multimodal Backends,multimodal_backend_status,not_started
vignettes/measurement-stress-negative-controls.Rmd,docs/articles/measurement-stress-negative-controls.md,Measurement-quality stress tests and negative controls,expand_eyeprocess_stress_evidence_plan|eyeprocess_negative_control_evidence_plan|eyeprocess_reliability_evidence_plan|eyeprocess_stress_evidence_plan,not_started
vignettes/multi-vendor-validation.Rmd,docs/articles/multi-vendor-validation.md,Multi-vendor empirical validation,validate_eye_corpus|vendor_validation_spec|audit_vendor_validation|write_vendor_validation_report,not_started
vignettes/multiblock-profiles-and-external-validity.Rmd,docs/articles/multiblock-profiles-and-external-validity.md,"Multiblock process structure, profiles, and external validity",audit_process_external_validity|fit_multiblock_process_map|fit_process_profile_mixture|incremental_process_validity|multiblock_contributions|multiblock_person_coordinates|multiblock_variable_coordinates|process_criterion_associations|process_feature_blocks|process_profile_probabilities|process_profile_summary,not_started
vignettes/multidimensional-testlet-latent-regression-irt.Rmd,docs/articles/multidimensional-testlet-latent-regression-irt.md,"Multidimensional, testlet, and latent-regression IRT",eyeprocess_mirt_information_matrix|eyeprocess_mirt_loading_audit|eyeprocess_mirt_loading_spec,not_started
vignettes/multimodal-process-irt-0-7.Rmd,docs/articles/multimodal-process-irt-0-7.md,"Multimodal Process IRT: Responses, Time, Gaze, and Missingness",audit_distractor_attention|audit_process_measurement_invariance|classify_item_missingness|distractor_process_map|facet_effects|fit_censored_normal_process_irt|fit_joint_gaze_rt_irt|fit_joint_graded_rt_process_irt|fit_manyfacet_process_irt|fit_nominal_gaze_irt|fit_omission_survival_irt|generalizability_process_study|irt_continuous_channel|irt_count_channel|irt_model_spec|irt_response_channel|irt_rt_channel|irt_sequence_channel|list_irt_models|option_process_information|promote_irt_model|register_irt_model|validate_irt_model,not_started
vignettes/multiple-response-and-revisiting-irt-0-7.Rmd,docs/articles/multiple-response-and-revisiting-irt-0-7.md,"Multiple-Response Items, Revisiting, and Local Dependence",audit_process_local_dependence|encode_response_combinations|fit_multiple_response_process_irt|fit_revisit_process_cdm|grade_model_evidence|irt_validation_spec|process_channel_ablation|stress_test_local_dependence,not_started
vignettes/multiverse-sensitivity-and-decision-stability.Rmd,docs/articles/multiverse-sensitivity-and-decision-stability.md,"Sensitivity, specification curves, and decision stability",decision_stability|process_sensitivity_grid|run_process_sensitivity|sensitivity_decision_leverage|summarise_process_sensitivity,not_started
vignettes/negative-controls-and-temporal-leakage.Rmd,docs/articles/negative-controls-and-temporal-leakage.md,"Negative controls, placebo windows, and temporal leakage",audit_temporal_leakage|process_feature_time_provenance|process_null_benchmark|run_process_negative_controls|summarise_process_negative_controls,not_started
vignettes/preprocessing-features.Rmd,docs/articles/preprocessing-features.md,"Preprocessing, AOIs, and Feature Engineering",assign_aois|build_aoi_visits|check_feature_level|check_process_leakage|compare_aoi_definitions|compare_preprocessing|derive_all_features|feature_dictionary|feature_spec|features_wide|new_aoi|preprocess_eye|preprocess_spec|register_aois,not_started
vignettes/probabilistic-aoi-compositions.Rmd,docs/articles/probabilistic-aoi-compositions.md,Probabilistic AOIs and Compositional Attention,assign_aois_probabilistic|audit_aoi_separation|compare_aoi_compositions|derive_aoi_composition|plot_aoi_boundary_risk|plot_aoi_metric_uncertainty|plot_aoi_probability_map|plot_aoi_ternary|plot_aoi_variation_matrix|plot_compositional_group_difference|propagate_aoi_uncertainty|transform_aoi_composition,not_started
vignettes/process-decision-proxies-and-frontier-gates.Rmd,docs/articles/process-decision-proxies-and-frontier-gates.md,Process-decision proxies and research-frontier gates,addm_glam_proxy_features|assign_process_feature_family|fit_crossclassified_process_irt_mhrm|fit_kde_latent_distribution_irt|fit_nonignorable_missing_irt|fit_persistence_gaze_diffusion_irt|preaction_process_features|prepare_structured_unstructured_process_features|process_feature_family_registry|process_feature_stability,not_started
vignettes/process-information-and-ablation-0-10.Rmd,docs/articles/process-information-and-ablation-0-10.md,Process Information and Channel Ablation,ablate_multimodal_channels|process_information|simulate_multimodal_irt,not_started
vignettes/process-irt-model-atlas-0-7.Rmd,docs/articles/process-irt-model-atlas-0-7.md,"Process-IRT Model Atlas: What to Fit, What to Validate, What Not to Claim",algorithm_facet_effects|audit_channel_incremental_information|audit_irf_shape|audit_latent_distribution|audit_process_adjusted_dif|audit_process_local_dependence|audit_process_measurement_invariance|classify_item_missingness|compare_latent_distribution_models|compare_parametric_nonparametric_irf|device_facet_effects|fit_censored_normal_process_irt|fit_changepoint_multimodal_irt|fit_event_time_irt|fit_gaze_informed_missingness_irt|fit_gpirt|fit_joint_gaze_rt_irt|fit_joint_graded_rt_process_irt|fit_latent_space_irt|fit_manyfacet_process_irt|fit_multiple_response_process_irt|fit_nominal_gaze_irt|fit_omission_survival_irt|fit_process_hmm_irt|fit_revisit_process_cdm|grade_model_evidence|irt_validation_spec|latent_distribution_stress_test|list_irt_models|negative_control_process_test|plot_irf_uncertainty|session_facet_effects|validation_evidence_levels,not_started
vignettes/process-measure-registry-and-reliability.Rmd,docs/articles/process-measure-registry-and-reliability.md,"Process-measure registry, repeatability, and reliability",process_icc|process_measure_card|process_measure_guardrails|process_measure_registry|process_reliability_profile,not_started
vignettes/process-preflight-and-anomaly-governance.Rmd,docs/articles/process-preflight-and-anomaly-governance.md,Process pre-flight and anomaly governance,apply_preflight_decision|audit_biometric_preflight|audit_process_anomalies|preflight_decisions|preflight_exclusion_manifest|preflight_failures|process_anomaly_distance|process_preflight_spec,not_started
vignettes/process-response-time-irt.Rmd,docs/articles/process-response-time-irt.md,Response-time and process-aware IRT,eyeprocess_joint_process_irt_spec|eyeprocess_process_irt_data_bundle|fit_eyeprocess_lnirt,not_started
vignettes/psychometric-process-models.Rmd,docs/articles/psychometric-process-models.md,Psychometric Process-Data Models,align_response_matrices|fit_accuracy_rt|fit_explanatory_irt|fit_irt|fit_process_irt|fit_shared_process_factor|process_irt_diagnostics|process_irt_spec|response_matrix|response_time_matrix,not_started
vignettes/pupil-measurement-boundaries-0-10.Rmd,docs/articles/pupil-measurement-boundaries-0-10.md,Pupil Measurement Boundaries in Multimodal IRT,simulate_multimodal_irt,not_started
vignettes/pupil-registration-missingness.Rmd,docs/articles/pupil-registration-missingness.md,Pupil Phase-Amplitude Registration and Missingness,audit_pupil_registration|decompose_pupil_phase_amplitude|fit_joint_signal_missingness|fit_process_observation_model|plot_mnar_tipping_point|plot_observation_probability|plot_phase_amplitude_scores|plot_pupil_registration|plot_warping_functions|process_pattern_mixture|register_pupil_curves|sensitivity_mnar_process,not_started
vignettes/reliability-device-transportability.Rmd,docs/articles/reliability-device-transportability.md,Process Reliability and Device Transportability,audit_device_equivalence|audit_process_reliability|design_process_dstudy|fit_device_linking|fit_process_gstudy|plot_dependability_surface|plot_device_agreement|plot_device_bias_by_magnitude|plot_device_equivalence_intervals|plot_device_transfer_curve|plot_reliability_by_metric|plot_variance_components|process_variance_components,not_started
vignettes/reproducibility-prov-and-ro-crate.Rmd,docs/articles/reproducibility-prov-and-ro-crate.md,"Reproducibility fingerprints, provenance, and RO-Crate",export_ro_crate_metadata|eye_reproducibility_fingerprint|verify_reproducibility_fingerprint|write_reproducibility_fingerprint,not_started
vignettes/research-validation-program.Rmd,docs/articles/research-validation-program.md,Research validation and software-paper programme,model_validation_spec|run_model_validation|model_validation_summary|simulation_based_calibration|compare_model_engines|run_raven_reproduction|grouped_cv|crossed_grouped_cv|quantify_process_leakage|preprocessing_multiverse|create_public_benchmark|write_software_paper_scaffold|advanced_validation_grid,not_started
vignettes/responsible-use.Rmd,docs/articles/responsible-use.md,"Quality, Provenance, and Responsible Interpretation",analysis_readiness|audit_missingness|audit_pupil_quality|audit_sampling_rate|audit_signal_quality|audit_trial_coverage|interpretive_warnings|provenance_manifest|report_eye_dataset|validate_eye_dataset|write_provenance,not_started
vignettes/scanpaths-and-cognitive-episodes.Rmd,docs/articles/scanpaths-and-cognitive-episodes.md,Representative Scanpaths and Cognitive Episodes,compare_scanpath_distributions|detect_process_changepoints|label_process_episodes|plot_changepoint_ribbons|plot_episode_duration_distribution|plot_episode_transition_graph|plot_group_scanpath_transport|plot_process_episodes|plot_representative_scanpath|plot_scanpath_dispersion|plot_scanpath_similarity_matrix|representative_scanpath|segment_process_episodes,not_started
vignettes/simulation-calibration-and-resolution-guards.Rmd,docs/articles/simulation-calibration-and-resolution-guards.md,Simulation-based calibration and measurement-resolution guards,analysis_resolution_guard|audit_pupil_preprocessing_order|pupil_baseline_sensitivity|sbc_ecdf_deviation|sbc_rank_diagnostics,not_started
vignettes/software-paper-evidence-bundle.Rmd,docs/articles/software-paper-evidence-bundle.md,Building a software-paper evidence bundle,software_paper_claim_matrix|software_paper_evidence_bundle|software_paper_gap_analysis|software_paper_readiness,not_started
vignettes/streaming-scoring-and-validation-bundles.Rmd,docs/articles/streaming-scoring-and-validation-bundles.md,Streaming scoring and validation evidence bundles,collect_validation_evidence|export_validation_bundle|score_partial_response_pattern|score_response_stream|streaming_score_history|validation_bundle_manifest|validation_report,not_started
vignettes/targets-interoperability.Rmd,docs/articles/targets-interoperability.md,Interoperability with targets-style workflows,eye_targets_manifest|write_eye_targets_template,not_started
vignettes/temporal-process-representations.Rmd,docs/articles/temporal-process-representations.md,Temporal process windows and AOI trajectories,aoi_trajectory_features|audit_process_window_sensitivity|extract_process_windows|process_window_spec|summarize_process_windows|validate_process_windows,not_started
vignettes/temporal-spatial-process-science.Rmd,docs/articles/temporal-spatial-process-science.md,Temporal and Spatial Process Science,cross_recurrence|diagnose_gaze_point_process|fit_fixation_point_process|gaze_recurrence|plot_crossmodal_recurrence|plot_diagonal_recurrence_profile|plot_fixation_intensity|plot_observed_expected_fixations|plot_recurrence_matrix|plot_spatial_residuals|plot_windowed_recurrence|recurrence_features|windowed_recurrence,not_started
vignettes/theory-strategy-mixtures.Rmd,docs/articles/theory-strategy-mixtures.md,Theory-constrained strategy mixtures,theory_strategy_spec|fit_theory_strategy_irt|compare_strategy_heterogeneity|strategy_aoi_sensitivity|strategy_classification_uncertainty|strategy_label_switching_diagnostics|strategy_posterior_probabilities,not_started
vignettes/uncertainty-calibration.Rmd,docs/articles/uncertainty-calibration.md,Measurement Uncertainty and Recalibration,apply_offline_recalibration|audit_recalibration|detect_calibration_drift|estimate_process_uncertainty|fit_offline_recalibration|plot_calibration_vector_field|plot_drift_over_time|plot_recalibration_before_after|plot_uncertainty_tornado|plot_uncertainty_waterfall|process_uncertainty_spec|propagate_process_uncertainty|uncertainty_budget,not_started
vignettes/unified-multimodal-process-irt-0-10.Rmd,docs/articles/unified-multimodal-process-irt-0-10.md,Unified Multimodal Process-IRT,audit_multimodal_measurement|simulate_multimodal_irt,not_started
vignettes/validating-real-exports.Rmd,docs/articles/validating-real-exports.md,Validating Real Eye-Tracking Exports,create_validation_bundle|eye_format_profiles|format_compatibility_matrix|format_validation_spec|init_validation_corpus|validate_eye_corpus|validate_eye_source|validation_manifest,not_started
vignettes/validation-evidence-0-7.Rmd,docs/articles/validation-evidence-0-7.md,Independent Vendor Validation and Semantic Fidelity,build_compatibility_matrix|compatibility_evidence_matrix|coordinate_fidelity_audit|event_semantics_audit|public_validation_corpus|pupil_unit_fidelity_audit|semantic_fidelity_spec|semantic_loss_map|semantic_roundtrip_audit|timestamp_fidelity_audit|validate_bids_eye_semantics|validate_hed_event_semantics|validate_vendor_timestamp_semantics|validation_evidence_levels,not_started
vignettes/validation-evidence-atlas-software-paper.Rmd,docs/articles/validation-evidence-atlas-software-paper.md,Validation evidence atlas and software-paper reporting,eyeprocess_validation_claim_matrix|eyeprocess_validation_evidence_atlas|freeze_eyeprocess_validation_atlas|verify_eyeprocess_validation_atlas|write_eyeprocess_validation_report,not_started
vignettes/validation-execution-engine.Rmd,docs/articles/validation-execution-engine.md,Research-scale validation execution,audit_model_promotion|audit_validation_completion|collect_validation_jobs|plot_interval_coverage|plot_parameter_recovery|plot_sbc_rank|plot_validation_failures|plot_validation_runtime|resume_validation_jobs|run_validation_jobs|validation_calibration_summary|validation_failure_summary|validation_job_plan|validation_recovery_summary|validation_runtime_summary|validation_sbc_summary|write_validation_job_manifest|write_validation_release_report,not_started
vignettes/visual-context-and-testlet-irt.Rmd,docs/articles/visual-context-and-testlet-irt.md,Visual-context and testlet IRT,audit_visual_context_dependence|compare_visual_context_irt|context_factor_effects|fit_visual_context_irt|visual_context_registry,not_started
